### SHIPPED  k=0.917  sizes 7 9 11 12 14 16
  pt  advY  inkspan  clear  pad/em_ppem  pad/em_drawn  accTop  ascHdr
   7    21       19      2        0.137         0.150      16      17
   9    27       24      3        0.160         0.174      20      21
  11    32       28      4        0.175         0.190      25      26
  12    35       31      4        0.160         0.174      27      28
  14    41       35      6        0.206         0.224      31      33
  16    47       39      8        0.240         0.262      36      37

### CANDIDATE k=0.805  sizes 8 10 12 14 16 18
  pt  advY  inkspan  clear  pad/em_ppem  pad/em_drawn  accTop  ascHdr
   8    21       19      2        0.120         0.149      16      17
  10    26       23      3        0.144         0.179      20      21
  12    31       27      4        0.160         0.199      24      25
  14    36       31      5        0.171         0.213      27      29
  16    41       35      6        0.180         0.224      31      33
  18    47       40      7        0.187         0.232      35      37

### ANCHOR Almendra (no k)
  pt  advY  inkspan  clear  pad/em_ppem  pad/em_drawn  accTop  ascHdr
   8    23       17      6        0.360         0.360      16      17
  10    29       21      8        0.384         0.384      19      22
  12    34       25      9        0.360         0.360      23      26
  14    40       29     11        0.377         0.377      26      30
  16    46       33     13        0.390         0.390      30      34
  18    51       38     13        0.347         0.347      34      38
